id,video_id,video_path,birthday,recording_date,age
254922,345,quantex_at_home_id254922_2022_04_12_01.MP4,2016-05-28,2022-04-12,5.87
254922,320,quantex_at_home_id254922_2022_04_19_01.MP4,2016-05-28,2022-04-19,5.89
254922,365,quantex_at_home_id254922_2022_04_21_01.MP4,2016-05-28,2022-04-21,5.9
254922,394,quantex_at_home_id254922_2022_05_21_02.MP4,2016-05-28,2022-05-21,5.98
254922,439,quantex_at_home_id254922_2022_05_21_01.MP4,2016-05-28,2022-05-21,5.98
255237,347,quantex_at_home_id255237_2022_05_08_02.MP4,2016-06-12,2022-05-08,5.9
255237,354,quantex_at_home_id255237_2022_05_08_01.MP4,2016-06-12,2022-05-08,5.9
255237,417,quantex_at_home_id255237_2022_05_08_04.MP4,2016-06-12,2022-05-08,5.9
255237,433,quantex_at_home_id255237_2022_05_08_03.MP4,2016-06-12,2022-05-08,5.9
255237,307,quantex_at_home_id255237_2022_05_26_02.MP4,2016-06-12,2022-05-26,5.95
255237,407,quantex_at_home_id255237_2022_05_26_01.MP4,2016-06-12,2022-05-26,5.95
255695,355,quantex_at_home_id255695_2022_02_12_02.MP4,2017-01-21,2022-02-12,5.06
255695,372,quantex_at_home_id255695_2022_02_12_01.MP4,2017-01-21,2022-02-12,5.06
255695,335,quantex_at_home_id255695_2022_02_21_02.MP4,2017-01-21,2022-02-21,5.08
255695,449,quantex_at_home_id255695_2022_02_26_01.MP4,2017-01-21,2022-02-26,5.1
255706,346,quantex_at_home_id255706_2022_04_15_01.MP4,2016-07-29,2022-04-15,5.71
255706,312,quantex_at_home_id255706_2022_04_16_01.MP4,2016-07-29,2022-04-16,5.71
255944,380,quantex_at_home_id255944_2022_03_07_01.MP4,2016-04-24,2022-03-07,5.87
255944,336,quantex_at_home_id255944_2022_03_10_01.MP4,2016-04-24,2022-03-10,5.88
255944,431,quantex_at_home_id255944_2022_03_22_01.MP4,2016-04-24,2022-03-22,5.91
255944,331,quantex_at_home_id255944_2022_03_25_02.MP4,2016-04-24,2022-03-25,5.92
255944,343,quantex_at_home_id255944_2022_03_26_01.MP4,2016-04-24,2022-03-26,5.92
256354,332,quantex_at_home_id256354_2021_08_14_02.MP4,2016-08-08,2021-08-14,5.02
256354,401,quantex_at_home_id256354_2021_08_14_01.MP4,2016-08-08,2021-08-14,5.02
256354,311,quantex_at_home_id256354_2021_08_17_03.MP4,2016-08-08,2021-08-17,5.02
256354,385,quantex_at_home_id256354_2021_08_17_02.MP4,2016-08-08,2021-08-17,5.02
256354,442,quantex_at_home_id256354_2021_08_17_04.MP4,2016-08-08,2021-08-17,5.02
256461,152,quantex_at_home_id256461_2021_10_29_02.MP4,2017-04-16,2021-10-29,4.54
256461,237,quantex_at_home_id256461_2021_10_29_01.MP4,2017-04-16,2021-10-29,4.54
256461,182,quantex_at_home_id256461_2021_10_31_01.MP4,2017-04-16,2021-10-31,4.54
256461,195,quantex_at_home_id256461_2021_10_31_02.MP4,2017-04-16,2021-10-31,4.54
256461,204,quantex_at_home_id256461_2021_10_31_04.MP4,2017-04-16,2021-10-31,4.54
256461,209,quantex_at_home_id256461_2021_10_31_03.MP4,2017-04-16,2021-10-31,4.54
256461,256,quantex_at_home_id256461_2021_11_02_02.MP4,2017-04-16,2021-11-02,4.55
256461,260,quantex_at_home_id256461_2021_11_02_01.MP4,2017-04-16,2021-11-02,4.55
257108,278,quantex_at_home_id257108_2021_06_18_01.MP4,2017-03-17,2021-06-18,4.25
257147,157,quantex_at_home_id257147_2021_10_31_02.MP4,2017-04-21,2021-10-31,4.53
257147,166,quantex_at_home_id257147_2021_10_31_04.MP4,2017-04-21,2021-10-31,4.53
257147,167,quantex_at_home_id257147_2021_10_31_05.MP4,2017-04-21,2021-10-31,4.53
257147,226,quantex_at_home_id257147_2021_10_31_06.MP4,2017-04-21,2021-10-31,4.53
257147,236,quantex_at_home_id257147_2021_10_31_01.MP4,2017-04-21,2021-10-31,4.53
257147,257,quantex_at_home_id257147_2021_10_31_03.MP4,2017-04-21,2021-10-31,4.53
257147,220,quantex_at_home_id257147_2021_11_01_01.MP4,2017-04-21,2021-11-01,4.53
257291,383,quantex_at_home_id257291_2022_03_19_01.MP4,2017-02-24,2022-03-19,5.06
257291,386,quantex_at_home_id257291_2022_03_19_02.MP4,2017-02-24,2022-03-19,5.06
257291,350,quantex_at_home_id257291_2022_03_22_02.MP4,2017-02-24,2022-03-22,5.07
257291,353,quantex_at_home_id257291_2022_03_22_01.MP4,2017-02-24,2022-03-22,5.07
257291,430,quantex_at_home_id257291_2022_03_22_03.MP4,2017-02-24,2022-03-22,5.07
257492,202,quantex_at_home_id257492_2021_12_05_03.MP4,2017-04-20,2021-12-05,4.63
257492,218,quantex_at_home_id257492_2021_12_05_02.MP4,2017-04-20,2021-12-05,4.63
257492,219,quantex_at_home_id257492_2021_12_05_01.MP4,2017-04-20,2021-12-05,4.63
257492,250,quantex_at_home_id257492_2021_12_09_01.MP4,2017-04-20,2021-12-09,4.64
257492,283,quantex_at_home_id257492_2021_12_09_02.MP4,2017-04-20,2021-12-09,4.64
257511,18,quantex_at_home_id257511_2021_07_06_01.MP4,2017-09-12,2021-07-06,3.81
257511,94,quantex_at_home_id257511_2021_07_06_02.MP4,2017-09-12,2021-07-06,3.81
257511,48,quantex_at_home_id257511_2021_07_12_01.MP4,2017-09-12,2021-07-12,3.83
257511,84,quantex_at_home_id257511_2021_07_12_02.MP4,2017-09-12,2021-07-12,3.83
257511,54,quantex_at_home_id257511_2021_07_13_01.MP4,2017-09-12,2021-07-13,3.83
257573,217,quantex_at_home_id257573_2021_03_30_01.MP4,2017-02-23,2021-03-30,4.1
257573,162,quantex_at_home_id257573_2021_03_31_01.MP4,2017-02-23,2021-03-31,4.1
257573,242,quantex_at_home_id257573_2021_04_02_01.MP4,2017-02-23,2021-04-02,4.1
257578,163,quantex_at_home_id257578_2021_05_12_03.MP4,2017-04-28,2021-05-12,4.04
257578,230,quantex_at_home_id257578_2021_05_12_01.MP4,2017-04-28,2021-05-12,4.04
257578,231,quantex_at_home_id257578_2021_05_12_04.MP4,2017-04-28,2021-05-12,4.04
257578,248,quantex_at_home_id257578_2021_05_12_05.MP4,2017-04-28,2021-05-12,4.04
257578,265,quantex_at_home_id257578_2021_05_12_06.MP4,2017-04-28,2021-05-12,4.04
257578,272,quantex_at_home_id257578_2021_05_12_02.MP4,2017-04-28,2021-05-12,4.04
257578,185,quantex_at_home_id257578_2021_05_16_03.MP4,2017-04-28,2021-05-16,4.05
257578,216,quantex_at_home_id257578_2021_05_16_01.MP4,2017-04-28,2021-05-16,4.05
257578,258,quantex_at_home_id257578_2021_05_16_02.MP4,2017-04-28,2021-05-16,4.05
257578,298,quantex_at_home_id257578_2021_05_16_04.MP4,2017-04-28,2021-05-16,4.05
257608,168,quantex_at_home_id257608_2021_11_12_01.MP4,2017-04-17,2021-11-12,4.57
257608,178,quantex_at_home_id257608_2021_12_19_03.MP4,2017-04-17,2021-12-19,4.67
257608,264,quantex_at_home_id257608_2021_12_19_05.MP4,2017-04-17,2021-12-19,4.67
257608,271,quantex_at_home_id257608_2021_12_19_04.MP4,2017-04-17,2021-12-19,4.67
257608,282,quantex_at_home_id257608_2021_12_19_06.MP4,2017-04-17,2021-12-19,4.67
257608,294,quantex_at_home_id257608_2021_12_19_02.MP4,2017-04-17,2021-12-19,4.67
257608,299,quantex_at_home_id257608_2021_12_19_01.MP4,2017-04-17,2021-12-19,4.67
257608,164,quantex_at_home_id257608_2021_12_20_06.MP4,2017-04-17,2021-12-20,4.68
257608,184,quantex_at_home_id257608_2021_12_20_02.MP4,2017-04-17,2021-12-20,4.68
257608,194,quantex_at_home_id257608_2021_12_20_03.MP4,2017-04-17,2021-12-20,4.68
257608,210,quantex_at_home_id257608_2021_12_20_01.MP4,2017-04-17,2021-12-20,4.68
257608,235,quantex_at_home_id257608_2021_12_20_05.MP4,2017-04-17,2021-12-20,4.68
257608,274,quantex_at_home_id257608_2021_12_20_04.MP4,2017-04-17,2021-12-20,4.68
257609,349,quantex_at_home_id257609_2022_11_08_03.MP4,2017-02-20,2022-11-08,5.71
257609,363,quantex_at_home_id257609_2022_11_08_02.MP4,2017-02-20,2022-11-08,5.71
257609,371,quantex_at_home_id257609_2022_11_08_04.MP4,2017-02-20,2022-11-08,5.71
257609,425,quantex_at_home_id257609_2022_11_08_05.MP4,2017-02-20,2022-11-08,5.71
257609,340,quantex_at_home_id257609_2022_11_09_02.MP4,2017-02-20,2022-11-09,5.72
257609,358,quantex_at_home_id257609_2022_11_09_01.MP4,2017-02-20,2022-11-09,5.72
258192,169,quantex_at_home_id258192_2021_11_05_02.MP4,2017-05-26,2021-11-05,4.45
258192,205,quantex_at_home_id258192_2021_11_05_01.MP4,2017-05-26,2021-11-05,4.45
258192,170,quantex_at_home_id258192_2021_11_07_01.MP4,2017-05-26,2021-11-07,4.45
258192,254,quantex_at_home_id258192_2021_11_09_01.MP4,2017-05-26,2021-11-09,4.46
258192,191,quantex_at_home_id258192_2021_11_13_02.MP4,2017-05-26,2021-11-13,4.47
258192,193,quantex_at_home_id258192_2021_11_13_01.MP4,2017-05-26,2021-11-13,4.47
258274,452,quantex_at_home_id258274_2023_03_09_01.MP4,2017-08-08,2023-03-09,5.58
258274,316,quantex_at_home_id258274_2023_03_10_01.MP4,2017-08-08,2023-03-10,5.59
258274,448,quantex_at_home_id258274_2023_03_10_02.MP4,2017-08-08,2023-03-10,5.59
258274,424,quantex_at_home_id258274_2023_03_20_01.MP4,2017-08-08,2023-03-20,5.61
258274,444,quantex_at_home_id258274_2023_03_20_02.MP4,2017-08-08,2023-03-20,5.61
258274,309,quantex_at_home_id258274_2023_03_21_01.MP4,2017-08-08,2023-03-21,5.62
258274,377,quantex_at_home_id258274_2023_03_21_02.MP4,2017-08-08,2023-03-21,5.62
258309,351,quantex_at_home_id258309_2023_03_09_03.MP4,2017-05-16,2023-03-09,5.81
258309,378,quantex_at_home_id258309_2023_03_09_01.MP4,2017-05-16,2023-03-09,5.81
258309,421,quantex_at_home_id258309_2023_03_09_02.MP4,2017-05-16,2023-03-09,5.81
258309,318,quantex_at_home_id258309_2023_03_11_02.MP4,2017-05-16,2023-03-11,5.82
258309,370,quantex_at_home_id258309_2023_03_11_03.MP4,2017-05-16,2023-03-11,5.82
258309,398,quantex_at_home_id258309_2023_03_11_01.MP4,2017-05-16,2023-03-11,5.82
258309,446,quantex_at_home_id258309_2023_03_11_05.MP4,2017-05-16,2023-03-11,5.82
258309,334,quantex_at_home_id258309_2023_03_12_01.MP4,2017-05-16,2023-03-12,5.82
258309,426,quantex_at_home_id258309_2024_03_11_04.MP4,2017-05-16,2024-03-11,6.82
258541,348,quantex_at_home_id258541_2023_03_24_01.MP4,2017-05-14,2023-03-24,5.86
